DBT,0.728±0.031
FPF,TPF
0.0,0.0
0.01,0.04555360023279903
0.02,0.07793276368950523
0.03,0.10703838661966592
0.04,0.1342092367309596
0.05,0.15988644141006608
0.06,0.18442647530332978
0.07,0.20803318643688393
0.08,0.23077860158255636
0.09,0.2528209499842972
0.1,0.27421896714474103
0.11,0.29500545088614244
0.12,0.3152775243834235
0.13,0.33502213299149375
0.14,0.3542908275126353
0.15,0.3731128584821019
0.16,0.39150514157461697
0.17,0.40948201792024985
0.18,0.4270654857516112
0.19,0.4442911836119592
0.2,0.4610995393911074
0.21,0.4775852823339735
0.22,0.49373209361326725
0.23,0.5095422566434064
0.24,0.5250025078916106
0.25,0.540164919639477
0.26,0.5549970065180911
0.27,0.5695059822203328
0.28,0.5837364915369623
0.29,0.5976362966928063
0.3,0.6112560095641565
0.31,0.6245991824537762
0.32,0.6376215179469814
0.33,0.6503937077223424
0.34,0.662845906313504
0.35,0.6750588239481911
0.36,0.6869542200124522
0.37,0.6986005137450464
0.38,0.7099782821077062
0.39,0.7210749010532966
0.4,0.7319150269582609
0.41,0.7424734672037241
0.42,0.7528079187137604
0.43,0.7628570457921479
0.44,0.7726504768203585
0.45,0.7822072113011074
0.46,0.7914805826280137
0.47,0.8005144012205636
0.48,0.8093123087038195
0.49,0.8178751654531459
0.5,0.8261733589508654
0.51,0.8342370198185652
0.52,0.8420767068814476
0.53,0.8496524682225055
0.54,0.8570080192053934
0.55,0.8641511777103892
0.56,0.8710567574954503
0.57,0.8777380507369489
0.58,0.8841852560650313
0.59,0.8904311994140848
0.6,0.8964444941426906
0.61,0.902259090548613
0.62,0.9078625614478343
0.63,0.9132540327752446
0.64,0.9184292952355615
0.65,0.9234199382857842
0.66,0.9282061763130033
0.67,0.9328123576473407
0.68,0.9372161229870694
0.69,0.9414261422821407
0.7,0.9454739393926935
0.71,0.949321289871872
0.72,0.9529929760357604
0.73,0.95650712288236
0.74,0.9598356541496099
0.75,0.963016054541011
0.76,0.9660256673029481
0.77,0.968882023703122
0.78,0.9715883034832137
0.79,0.9741370352215775
0.8,0.9765496226393798
0.81,0.978815636518252
0.82,0.9809376708952172
0.83,0.982927304987495
0.84,0.984794945534567
0.85,0.9865372800109039
0.86,0.9881598024476221
0.87,0.9896498882727593
0.88,0.9910440611796173
0.89,0.992331536479299
0.9,0.9934920886867836
0.91,0.9945612089732623
0.92,0.9955212152314269
0.93,0.9964053882599223
0.94,0.9971824530032577
0.95,0.9978690162724716
0.96,0.998479048831714
0.97,0.9989962608628463
0.98,0.999422391130825
0.99,0.9997646731840826
1.0,1.0
