Reader,max,avg,median,min,n,qfirst,qthird,deviation
P,3.0,-66.2,-77.5,-100.0,22.0,-97.0,-37.5,34.5
X,100.0,-63.2,-95.0,-100.0,22.0,-100.0,-76.2,61.8
K,5.0,-62.1,-87.5,-100.0,22.0,-97.0,-10.5,41.3
G,1.0,-59.9,-85.0,-100.0,22.0,-100.0,-11.2,42.6
E,20.0,-57.5,-90.0,-100.0,22.0,-100.0,-10.0,46.8
A,15.0,-50.5,-55.0,-100.0,22.0,-100.0,0.0,48.1
S,0.0,-50.5,-35.0,-100.0,22.0,-100.0,-10.0,43.9
M,3.0,-49.7,-50.0,-100.0,22.0,-99.8,0.0,48.7
D,20.0,-47.0,-35.0,-100.0,22.0,-97.5,0.0,46.5
C,20.0,-46.8,-50.0,-100.0,22.0,-90.0,0.0,45.4
I,99.0,-46.5,-90.0,-100.0,22.0,-99.0,-1.0,60.4
V,0.0,-42.8,-12.0,-99.0,22.0,-95.5,-4.2,43.8
Y,100.0,-41.4,-40.0,-100.0,22.0,-100.0,0.0,55.4
H,100.0,-40.9,-50.0,-100.0,22.0,-100.0,0.0,65.1
L,60.0,-36.1,-45.0,-80.0,22.0,-67.5,-20.0,35.5
J,100.0,-35.5,-40.0,-100.0,22.0,-97.5,0.0,63.7
U,100.0,-35.2,-30.0,-100.0,22.0,-100.0,0.0,58.4
R,78.0,-34.7,-34.0,-99.0,22.0,-91.5,0.8,55.0
T,69.0,-31.0,-25.0,-90.0,22.0,-77.5,-1.2,44.5
B,90.0,-27.7,-15.0,-100.0,22.0,-75.0,0.0,47.3
N,95.0,-26.4,-32.5,-90.0,22.0,-69.8,10.0,51.2
Q,85.0,-24.2,-25.0,-100.0,22.0,-78.2,18.8,55.5
W,100.0,-23.4,-12.5,-100.0,22.0,-71.2,0.0,49.6
F,95.0,2.3,0.0,-88.0,22.0,-13.0,37.5,50.6
All,100.0,-41.5,-40.0,-100.0,528.0,-95.0,0.0,52.7
